friendly_name,original_field_name,page,field_type,caption,state_options,max_length,access
u_s,topmostSubform[0].Page5[0].BulletedList1[0].Bullet2[0].c5_3[0],5,Button,U.S.,1,,
foreign,topmostSubform[0].Page5[0].BulletedList1[0].Bullet2[0].c5_3[1],5,Button,Foreign,2,,
i_certify_that_the_entity_identified_in_part_i_is_the_beneficial_owner_of_the_payment_and_is_not_engaged_in_commercial_financial_activities_of_a,topmostSubform[0].Page5[0].c5_4[0],5,Button,"I certify that the entity identified in Part I is the beneficial owner of the payment, and is not engaged in commercial financial activities of a",1,,
i_certify_that_the_entity_identified_in_part_i_is_an_international_organization_described_in_section_7701_a_18,topmostSubform[0].Page5[0].c5_5[0],5,Button,I certify that the entity identified in Part I is an international organization described in section 7701(a)(18).,1,,
i_certify_that_the_entity_identified_in_part_i_7,topmostSubform[0].Page5[0].c5_5[1],5,Button,I certify that the entity identified in Part I:,2,,
i_certify_that_the_entity_identified_in_part_i_8,topmostSubform[0].Page5[0].c5_6[0],5,Button,I certify that the entity identified in Part I:,1,,
i_certify_that_the_entity_identified_in_part_i_9,topmostSubform[0].Page5[0].c5_6[1],5,Button,I certify that the entity identified in Part I:,2,,
i_certify_that_the_entity_identified_in_part_i_10,topmostSubform[0].Page5[0].c5_6[2],5,Button,I certify that the entity identified in Part I:,3,,
i_certify_that_the_entity_identified_in_part_i_is_formed_pursuant_to_a_pension_plan_that_would_meet_the_requirements_of_section_401_a_other,topmostSubform[0].Page6[0].c5_6[0],6,Button,"I certify that the entity identified in Part I is formed pursuant to a pension plan that would meet the requirements of section 401(a), other",4,,
i_certify_that_the_entity_identified_in_part_i_is_established_exclusively_to_earn_income_for_the_benefit_of_one_or_more_retirement_funds,topmostSubform[0].Page6[0].c5_6[1],6,Button,I certify that the entity identified in Part I is established exclusively to earn income for the benefit of one or more retirement funds,5,,
i_certify_that_the_entity_identified_in_part_i_11,topmostSubform[0].Page6[0].c5_6[2],6,Button,I certify that the entity identified in Part I:,6,,
i_certify_that_the_entity_identified_in_part_i_12,topmostSubform[0].Page6[0].c6_1[0],6,Button,I certify that the entity identified in Part I:,1,,
i_certify_that_the_entity_identified_in_part_i_is_a_financial_institution_other_than_an_investment_entity_that_is_incorporated_or_organized_under,topmostSubform[0].Page6[0].c6_2[0],6,Button,I certify that the entity identified in Part I is a financial institution (other than an investment entity) that is incorporated or organized under,1,,
i_certify_that_the_entity_identified_in_part_i_13,topmostSubform[0].Page6[0].c6_3[0],6,Button,I certify that the entity identified in Part I:,1,,
i_certify_that_the_entity_identified_in_part_i_14,topmostSubform[0].Page6[0].c6_4[0],6,Button,I certify that the entity identified in Part I:,1,,
p6_was_formed_on_or_in_the_case_of_a_new_line_of_business_the_date_of_board_resolution_approving_the_new_line_of_business,topmostSubform[0].Page6[0].BulletList4[0].Bullet1[0].f6_1[0],6,Text,"• Was formed on (or, in the case of a new line of business, the date of board resolution approving the new line of business)",,,
i_certify_that_the_entity_identified_in_part_i_15,topmostSubform[0].Page6[0].c6_5[0],6,Button,I certify that the entity identified in Part I:,1,,
p6_filed_a_plan_of_liquidation_filed_a_plan_of_reorganization_or_filed_for_bankruptcy_on,topmostSubform[0].Page6[0].BulletList5[0].Bullet1[0].f6_2[0],6,Text,"• Filed a plan of liquidation, filed a plan of reorganization, or filed for bankruptcy on",,,
i_certify_that_the_entity_identified_in_part_i_is_a_501_c_organization_that,topmostSubform[0].Page7[0].c7_1[0],7,Button,I certify that the entity identified in Part I is a 501(c) organization that:,1,,
p7_or,topmostSubform[0].Page7[0].BulletList1[0].Bullet1[0].f7_1[0],7,Text,; or,,,
i_certify_that_the_entity_identified_in_part_i_is_a_nonprofit_organization_that_meets_the_following_requirements,topmostSubform[0].Page7[0].c7_2[0],7,Button,I certify that the entity identified in Part I is a nonprofit organization that meets the following requirements.,1,,
i_certify_that,topmostSubform[0].Page7[0].c7_3[0],7,Button,I certify that:,1,,
p7_the_stock_of_such_corporation_is_regularly_traded_on_one_or_more_established_securities_markets_including,topmostSubform[0].Page7[0].BulletList3[0].Bullet2[0].f7_2[0],7,Text,"• The stock of such corporation is regularly traded on one or more established securities markets, including",,,
i_certify_that_2,topmostSubform[0].Page7[0].c7_3[1],7,Button,I certify that:,2,,
p7_the_name_of_the_entity_the_stock_of_which_is_regularly_traded_on_an_established_securities_market_is,topmostSubform[0].Page7[0].BulletList4[0].Bullet3[0].f7_3[0],7,Text,"• The name of the entity, the stock of which is regularly traded on an established securities market, is",,,
p7_the_name_of_the_securities_market_on_which_the_stock_is_regularly_traded_is,topmostSubform[0].Page7[0].BulletList4[0].Bullet4[0].f7_4[0],7,Text,• The name of the securities market on which the stock is regularly traded is,,,
i_certify_that_3,topmostSubform[0].Page7[0].c7_4[0],7,Button,I certify that:,1,,
i_certify_that_4,topmostSubform[0].Page7[0].c7_5[0],7,Button,I certify that:,1,,
i_certify_that_the_entity_identified_in_part_i_is_a_foreign_entity_that_is_not_a_financial_institution_other_than_an_investment_entity_organized_in_a,topmostSubform[0].Page7[0].c7_6[0],7,Button,I certify that the entity identified in Part I is a foreign entity that is not a financial institution (other than an investment entity organized in a,1,,
i_further_certify_that_the_entity_identified_in_part_i_has_no_substantial_u_s_owners_or_if_applicable_no_controlling_u_s_persons_or,topmostSubform[0].Page7[0].c7_7[0],7,Button,"I further certify that the entity identified in Part I has no substantial U.S. owners (or, if applicable, no controlling U.S. persons); or",1,,
i_further_certify_that_the_entity_identified_in_part_i_has_provided_the_name_address_and_tin_of_each_substantial_u_s_owner_or_if_applicable,topmostSubform[0].Page7[0].c7_7[1],7,Button,"I further certify that the entity identified in Part I has provided the name, address, and TIN of each substantial U.S. owner (or, if applicable,",2,,
i_certify_that_the_entity_identified_in_part_i_16,topmostSubform[0].Page8[0].c8_1[0],8,Button,I certify that the entity identified in Part I:,1,,
p8_name_of_sponsoring_entity,topmostSubform[0].Page8[0].f8_1[0],8,Text,Name of sponsoring entity:,,,
i_certify_that_the_entity_identified_in_part_i_is_a_direct_reporting_nffe_that_is_sponsored_by_the_entity_identified_on_line_42,topmostSubform[0].Page8[0].c8_2[0],8,Button,I certify that the entity identified in Part I is a direct reporting NFFE that is sponsored by the entity identified on line 42.,1,,
p8_topmostsubform_0_page8_0_table_part29_0_bodyrow1_0_f8_3_0,topmostSubform[0].Page8[0].Table_Part29[0].BodyRow1[0].f8_3[0],8,Text,,,,
p8_topmostsubform_0_page8_0_table_part29_0_bodyrow1_0_f8_4_0,topmostSubform[0].Page8[0].Table_Part29[0].BodyRow1[0].f8_4[0],8,Text,,,,
p8_topmostsubform_0_page8_0_table_part29_0_bodyrow1_0_f8_5_0,topmostSubform[0].Page8[0].Table_Part29[0].BodyRow1[0].f8_5[0],8,Text,,,11,
p8_topmostsubform_0_page8_0_table_part29_0_bodyrow2_0_f8_6_0,topmostSubform[0].Page8[0].Table_Part29[0].BodyRow2[0].f8_6[0],8,Text,,,,
p8_topmostsubform_0_page8_0_table_part29_0_bodyrow2_0_f8_7_0,topmostSubform[0].Page8[0].Table_Part29[0].BodyRow2[0].f8_7[0],8,Text,,,,
p8_topmostsubform_0_page8_0_table_part29_0_bodyrow2_0_f8_8_0,topmostSubform[0].Page8[0].Table_Part29[0].BodyRow2[0].f8_8[0],8,Text,,,11,
p8_topmostsubform_0_page8_0_table_part29_0_bodyrow3_0_f8_9_0,topmostSubform[0].Page8[0].Table_Part29[0].BodyRow3[0].f8_9[0],8,Text,,,,
p8_topmostsubform_0_page8_0_table_part29_0_bodyrow3_0_f8_10_0,topmostSubform[0].Page8[0].Table_Part29[0].BodyRow3[0].f8_10[0],8,Text,,,,
p8_topmostsubform_0_page8_0_table_part29_0_bodyrow3_0_f8_11_0,topmostSubform[0].Page8[0].Table_Part29[0].BodyRow3[0].f8_11[0],8,Text,,,11,
